conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,uniskill_domain,domain_reason
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/29fb0fb5-dfc4-4098-ac9b-3a712000f48f,skill/competence,cross-sector,manage database,implement database theory,,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Apply database design schemes and models, define data dependencies, use query languages and database management systems (DBMS) to develop and manage databases.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/29fb886c-6be0-4e93-9ea1-232881f2092a,skill/competence,cross-sector,plan product management,"plan products management
planning product management
set up product management
implement product management
arrange product management
plan production management
timetable product management",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Manage the scheduling of procedures which aim to maximise sales objectives, such as forecasting market trends, product placement, and sales planning.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2a3a96a3-709e-4d60-81f6-d247d6933f13,skill/competence,sector-specific,manage system security,manage information security,,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Analyse the critical assets of a company and identify weaknesses and vulnerabilities that lead to intrusion or attack. Apply security detection techniques. Understand cyber attack techniques and implement effective countermeasures.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,skill/competence,cross-sector,disseminate results to the scientific community,"disseminate scientific results
disclose scientific results
disclose findings of scientific research
disseminate findings of scientific research
disseminate results of scientific research",,released,2024-02-23T16:43:58.272Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research","Publicly disclose scientific results by any appropriate means, including conferences, workshops, colloquia and scientific publications.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,skill/competence,sector-specific,operate open source software,"know open-source software licensing schemes
know open-source software coding practices
know open-source licensing schemes
know open-source coding practices
manage open-source software",,released,2024-02-23T16:25:28.327Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Operate Open Source software, knowing the main Open Source models, licensing schemes, and the coding practices commonly adopted in the production of Open Source software.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b7a79e5-84d8-4880-be66-3d9bb05bea17,skill/competence,sector-specific,use software design patterns,"use programming design patterns
utilise software design patterns",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Utilise reusable solutions, formalised best practices, to solve common ICT development tasks in software development and design.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,skill/competence,cross-sector,perform data analysis,"analyse data performance
perform analysis of data
implement data analysis
performing data analysis
undertake data analysis
complete data analysis",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Collect data and statistics to test and evaluate in order to generate assertions and pattern predictions, with the aim of discovering useful information in a decision-making process.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,knowledge,sector-specific,Prolog (computer programming),Prolog,,released,2022-07-05T14:34:21.232Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Prolog.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3,skill/competence,cross-sector,design process,"design-to-cost process
process design",,released,2025-04-11T13:05:59.459Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Identify the workflow and resource requirements for a particular process, using a variety of tools such as process simulation software, flowcharting and scale models.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424,skill/competence,sector-specific,use logic programming,"utilise ICT tools for logic programming
use Datalog for logic programming
employ Answer Set Programming
employ ICT tools for logic programming
use Prolog for logic programming",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Utilise specialised ICT tools to create computer code composed of series of sentences in logical form, expressing rules and facts about some problem domain. Use programming languages which support this method such as Prolog, Answer Set Programming and Datalog.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2d140a3a-45a6-4248-80dd-b3760ebc9cc6,knowledge,sector-specific,operations management,business operations management,,released,2024-01-29T11:26:38.855Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The backend business functions that are implemented with the aim of achieving the high efficiency and profitability within an organisation.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2d6d4784-0992-48e7-b100-22d7229b3f0a,skill/competence,cross-sector,translate requirements into visual design,"develop visual design from given specifications
develop visual design concepts based on target audience
develop visual design based on target audience
translate requirement concepts into visual design
develop visual design concepts from given specifications",,released,2024-02-23T17:03:29.16Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Develop visual design from given specifications and requirements, based on the analysis of the scope and target audience. Create a visual representation of ideas such as logos, website graphics, digital games and layouts.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec,skill/competence,sector-specific,establish data processes,"develop data processes
implement data processes",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use ICT tools to apply mathematical, algorithmic or other data manipulation processes in order to create information.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ddb1226-1117-4eb4-ae65-3a2f5a5a3c80,knowledge,sector-specific,ICT network security risks,"ICT network security threats
information systems security risks",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The security risk factors, such as hardware and software components, devices, interfaces and policies in ICT networks, risk assessment techniques that can be applied to assess the severity and the consequences of security threats and contingency plans for each security risk factor.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,skill/competence,cross-sector,speak different languages,"speak foreign languages
communicate in multiple languages
speak a different language",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research",Master foreign languages to be able to communicate in one or more foreign languages.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,knowledge,sector-specific,innovation processes,process of innovation,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The techniques, models, methods and strategies which contribute to the promotion of steps towards innovation.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/300d432b-f457-4cd3-9cb1-1858c7d14954,knowledge,sector-specific,OpenEdge Advanced Business Language,OpenEdge Advanced Business Language techniques,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in OpenEdge Advanced Business Language.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/31c69100-b612-4a61-8db5-fd314318854c,skill/competence,cross-sector,execute analytical mathematical calculations,apply analytical mathematical methods,,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Apply mathematical methods and make use of calculation technologies in order to perform analyses and devise solutions to specific problems.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/32428b21-514b-42c2-81b5-244a7804ea74,knowledge,sector-specific,procurement of ICT network equipment,"network equipment vendors
NEC
Alcatel-Lucent
Ericsson
Juniper Networks
Avaya
Ciena","NEC
Alcatel-Lucent
Ciena
Avaya
Juniper Networks
Ericsson",released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The products available from network equipment providers and methods for selecting and procuring the equipment.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/327d15c8-29ff-4ad4-a4fe-6536d777a45f,knowledge,sector-specific,documentation types,"documentation types of product life cycle
internal documentation types of product life cycle
internal documentation types
technical documentation types
external documentation types",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The characteristics of internal and external documentation types aligned with the product life cycle and their specific content types.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40,skill/competence,cross-sector,troubleshoot,"troubleshoot problems
deal with problems
troubleshooting
identify problems
identifying problems
perform troubleshooting",,released,2025-04-16T10:29:22.901Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Identify operating problems, decide what to do about it and report accordingly.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb,skill/competence,cross-sector,manage staff,"supervise staff
coordinate and monitor employees
undertake HR processes
supervise personnel
implement HR actions
supervise employees
perform HR
conduct HR activities
manage personnel
manage subordinates
manage team
manage employees
coordinate and monitor subordinates
coordinate and monitor staff",,released,2025-08-01T12:53:44.051Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Manage employees and subordinates, working in a team or individually, to maximise their performance and contribution. Schedule their work and activities, give instructions, motivate and direct the workers to meet the company objectives. Monitor and measure how an employee undertakes their responsibilities and how well these activities are executed. Identify areas for improvement and make suggestions to achieve this. Lead a group of people to help them achieve goals and maintain an effective working relationship among staff.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,skill/competence,cross-sector,protect personal data and privacy,"protect online privacy and identity
review online privacy settings
take action to ensure online privacy
safeguard online identity and privacy
protect digital privacy
protect digital identity
safeguarding online privacy and identity
safeguard online privacy and identity
keep online privacy and identity secure
defend online privacy and identity
safeguard online privacy and identities",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/digcomp",Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,knowledge,sector-specific,iterative development,iterative development methodology,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The iterative development model is a methodology to design software systems and applications.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33e584f9-ff7a-4979-bfc0-5a3a374a145a,knowledge,cross-sector,social network analysis,social network analysis methods,,released,2023-11-03T09:56:01.053Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The research method that is mainly explored in sociology and communication science and focuses on the analysis of the relations between individuals and among organisations and states.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/348b74cd-49ce-4844-8bdf-ec188b497213,knowledge,sector-specific,visual presentation techniques,"Infoviz
information visualisation
visualization interface
Infovis
information visualization",Prezi,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The visual representation and interaction techniques, such as histograms, scatter plots, surface plots, tree maps and parallel coordinate plots, that can be used to present abstract numerical and non-numerical data, in order to reinforce the human understanding of this information.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3497ebe1-d417-4105-a68f-f7bbcac7ee5f,knowledge,cross-sector,ICT hardware specifications,"specifications for ICT hardware
ICT hardware needs
ICT hardware requirements
ICT hardware stipulations
ICT hardware characteristics
an ICT hardware specification
ICT hardware specification",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The characteristics, uses and operations of various hardware products such as printers, screens, and laptops.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3579208e-49b3-4ce4-98e7-20e41b1ce8d4,skill/competence,sector-specific,develop information security strategy,"define information security approach
define information security strategy",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Create company strategy related to the safety and security of information in order to maximise information integrity, availability and data privacy.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/37a438f3-e28c-4e32-83c5-299f047c1dc9,skill/competence,cross-sector,apply tools for content development,"use terminology management tools
use content development tools
use translation memory systems
use language checkers
use language editing tools",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/37bc4dc0-1233-4008-98db-1116d0c1cfcc,skill/competence,sector-specific,define security policies,"plan and implement security policies
design and implement security policies",,released,2025-06-25T08:45:06.159Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Design and execute a written set of rules and policies that have the aim of securing an organisation concerning constraints on behaviour between stakeholders, protective mechanical constraints and data-access constraints.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c,skill/competence,cross-sector,apply statistical analysis techniques,"apply numerical analysis to data
apply JMP statistical analysis techniques
apply minitab statistical analysis techniques",,released,2025-04-11T12:49:54.827Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b,skill/competence,cross-sector,provide user documentation,develop user documentation,,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Develop and organise the distribution of structured documents to assist people using a particular product or system, such as written or visual information about an application system and how to use it.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/38716afc-a93b-44ab-96cc-2ecf67edcf32,skill/competence,sector-specific,do cloud refactoring,"optimise cloud services
perform cloud refactoring
optimise cloud features
refactor cloud services
do cloud features refactoring",,released,2024-03-01T08:13:15.154Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Optimise application to best use cloud services and features, migrate existing application code to run on cloud infrastructure.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/38d49d88-9069-467b-b29e-3cae739bdd4d,skill/competence,sector-specific,build predictive models,"devise predictive models
assemble predictive models
building predictive models
construct predictive models
build a predictive model
produce predictive models
building a predictive model",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Create models to predict the probability of an outcome.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/38da3c60-4b7c-4698-9256-574e4ee4e93b,knowledge,cross-sector,knowledge base,IT knowledge base,,released,2023-11-29T16:23:32.319Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",An online library that contains information about a product or service to help customers finding answers to their queries.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/397da142-ab35-48fe-b154-7c38f447adfb,knowledge,cross-sector,digital systems,digital information systems,,released,2023-11-29T16:26:49.348Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Systems to store, process and spread information in digital form. They are hardware, software and networks, as well as the ways in which these can be employed.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,skill/competence,cross-sector,evaluate research activities,"perform scholarly peer review
assess research results
assess research methodology",,released,2020-12-11T12:32:43.311Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research","Review proposals, progress, impact and outcomes of peer researchers, including through open peer review.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,knowledge,cross-sector,machine learning,"ML
supervised learning
machine learning models
semi-supervised learning
unsupervised learning",,released,2024-02-23T13:19:35.365Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a5231a0-8c30-48ee-b671-08e2debd4441,knowledge,sector-specific,organisational policies,"corporate policies
corporate regulations
organisational standards
organisational guidelines
institutional policies",,released,2024-03-01T11:19:24.397Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",The policies to achieve set of goals and targets regarding the development and maintenance of an organisation.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba,skill/competence,sector-specific,create software design,create application design,,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Transpose a series of requirements into a clear and organised software design.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3be6b84a-fa78-42b9-a8df-150cdb40b9d7,knowledge,sector-specific,ICT quality policy,ICT quality control,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The quality policy of the organisation and its objectives, the acceptable level of quality and the techniques to measure it, its legal aspects and the duties of specific departments to ensure quality.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca,skill/competence,cross-sector,apply change management,"utilise change management
alter management
rework management
apply changing management
change management application
administer change management
revise management
implement change management
change management
employ change management
applying change management",,released,2025-08-01T12:52:57.837Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Manage development within an organisation by anticipating changes and making managerial decisions to ensure that the members involved are as less disturbed as possible.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c76296d-4bbd-44ba-8eaa-95bf275f79b7,skill/competence,sector-specific,manage ICT project,lead ICT projects,,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Plan, organize, control and document procedures and resources, such as human capital, equipment and mastery, in order to achieve specific goals and objectives related to ICT systems, services or products, within specific constraints, such as scope, time, quality and budget.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c,skill/competence,sector-specific,maintain relationship with suppliers,"maintaining relationship with suppliers
control relationship with suppliers
manage relationship with suppliers
sustain relationship with suppliers
maintain a relationship with suppliers
maintain relationship with a supplier
preserve relationship with suppliers",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Build a lasting and meaningful relationship with suppliers and service providers in order to establish a positive, profitable and enduring collaboration, co-operation and contract negotiation.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,knowledge,sector-specific,JavaScript,"Client-side JavaScript
Live Script
Escript
CSJS
Mocha
Server-side JavaScript","JavaScript 1.7
Live-Script
Javascript
JavaScript 1.6
Live-script
Java script
JavaScript",released,2023-06-08T15:54:59.877Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in JavaScript.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b,knowledge,sector-specific,decision support systems,"decision-making tools
decision support matrix
decision support software",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The ICT systems that can be used to support business or organisational decision making.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cee858e-79e8-4a4b-b99f-93c7f735d58b,knowledge,sector-specific,DB2,"DB2 Connect
DB2 for i
IBM DB2
IBM DB2 database software
DB2 for z/OS
DB2 database software
DB2 on Cloud",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program IBM DB2 is a tool for creating, updating and managing databases, developed by the software company IBM.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cfa46e9-b7da-44ac-b09e-9596dffe0425,skill/competence,sector-specific,optimise choice of ICT solution,"enhance choice of ICT solution
carry out ICT planning
carry out ICT strategic planning
select ICT solution
perform ICT planning
perform ICT strategic planning",,released,2024-02-28T10:39:38.322Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Select the appropriate solutions in the field of ICT while taking into account potential risks, benefits and overall impact.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e,knowledge,sector-specific,Microsoft Access,"Microsoft Office Access
MS Access",,released,2025-04-16T10:33:05.323Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program Access is a tool for creating, updating and managing databases, developed by the software company Microsoft.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d3ee5c3-4286-457f-9f76-1704011f7e11,skill/competence,cross-sector,comply with legal regulations,"legal regulation compliance
comply with legal rules
comply with legal legislation
comply with legal laws
comply with legal statutes
comply with a legal regulation
complying with legal regulations",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Ensure you are properly informed of the legal regulations that govern a specific activity and adhere to its rules, policies and laws.",in_domain,linked to the selected IT occupations
