clo_id,ma_cdr_goc,noi_dung,pi_so,muc_do
LP6010_CLO5,CLO5,"Ứng dụng phương pháp luận biện chứng duy vật vào việc nhận thức và giải quyết các vấn đề thực tiễn trong học tập, cuộc sống và công tác chuyên môn.",,
LP6010_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, vai trò của triết học trong đời sống xã hội và quá trình hình thành, phát triển của Triết học Mác - Lênin.",,
LP6010_CLO2,CLO2,"Phân tích được nội dung của chủ nghĩa duy vật biện chứng, bao gồm vấn đề vật chất và ý thức, các nguyên lý, cặp phạm trù, quy luật cơ bản của phép biện chứng duy vật và lý luận nhận thức.",,
LP6010_CLO3,CLO3,"Vận dụng được các quan điểm của chủ nghĩa duy vật lịch sử để phân tích các hiện tượng xã hội thông qua học thuyết hình thái kinh tế - xã hội, vấn đề giai cấp, dân tộc, nhà nước và ý thức xã hội.",,
LP6010_CLO4,CLO4,Đánh giá được bản chất của con người và vai trò của con người trong lịch sử dưới góc nhìn của triết học Mác - Lênin.,,
LP6010_CLO5,CLO5,"Ứng dụng phương pháp luận biện chứng duy vật vào việc nhận thức và giải quyết các vấn đề thực tiễn trong học tập, cuộc sống và công tác chuyên môn.",,
LP6021_CLO1,CLO1,"Trình bày được những vấn đề cơ bản về nguồn gốc, bản chất, chức năng của Nhà nước và Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam.",,
LP6021_CLO2,CLO2,"Phân tích được các khái niệm cơ bản về pháp luật, quy phạm pháp luật, quan hệ pháp luật, vi phạm pháp luật và trách nhiệm pháp lý trong hệ thống pháp luật Việt Nam.",,
LP6021_CLO3,CLO3,Vận dụng được các quy định cơ bản của Luật Dân sự vào việc giải quyết các quan hệ pháp luật dân sự thông thường.,,
LP6021_CLO4,CLO4,"Hiểu và nhận thức được tầm quan trọng, các quy định cơ bản của pháp luật về phòng, chống tham nhũng và quyền con người.",,
LP6021_CLO5,CLO5,Giải quyết thành thạo các tình huống pháp luật thông thường trong thực tiễn dựa trên nền tảng kiến thức pháp luật đã học.,,
LP6021_CLO6,CLO6,"Hình thành ý thức tôn trọng pháp luật, lập trường tư tưởng vững vàng và sống, làm việc theo Hiến pháp và pháp luật.",,
LP6021_CLO1,CLO1,"Trình bày được những vấn đề cơ bản về nguồn gốc, bản chất, chức năng của Nhà nước và Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam.",,
LP6021_CLO2,CLO2,"Phân tích được các khái niệm cơ bản về pháp luật, quy phạm pháp luật, quan hệ pháp luật, vi phạm pháp luật và trách nhiệm pháp lý trong hệ thống pháp luật Việt Nam.",,
LP6021_CLO3,CLO3,Vận dụng được các quy định cơ bản của Luật Dân sự vào việc giải quyết các quan hệ pháp luật dân sự thông thường.,,
LP6021_CLO4,CLO4,"Hiểu và nhận thức được tầm quan trọng, các quy định cơ bản của pháp luật về phòng, chống tham nhũng và quyền con người.",,
LP6021_CLO5,CLO5,Giải quyết thành thạo các tình huống pháp luật thông thường trong thực tiễn dựa trên nền tảng kiến thức pháp luật đã học.,,
LP6021_CLO6,CLO6,"Hình thành ý thức tôn trọng pháp luật, lập trường tư tưởng vững vàng và sống, làm việc theo Hiến pháp và pháp luật.",,
LP6022_CLO1,CLO1,"Trình bày được khái niệm, đối tượng, phương pháp nghiên cứu và cơ sở hình thành, phát triển của tư tưởng Hồ Chí Minh.",,
LP6022_CLO2,CLO2,"Phân tích được các quan điểm cơ bản của Hồ Chí Minh về độc lập dân tộc, chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội ở Việt Nam.",,
LP6022_CLO3,CLO3,"Làm rõ tư tưởng Hồ Chí Minh về Đảng Cộng sản Việt Nam, Nhà nước pháp quyền xã hội chủ nghĩa và khối đại đoàn kết toàn dân tộc.",,
LP6022_CLO4,CLO4,"Trình bày được quan điểm của Hồ Chí Minh về văn hóa, đạo đức, xây dựng con người mới và công nghiệp hóa đất nước.",,
LP6022_CLO5,CLO5,Vận dụng được tư tưởng Hồ Chí Minh vào việc nhận thức và giải quyết các vấn đề thực tiễn của cách mạng Việt Nam trong giai đoạn hiện nay.,,
LP6022_CLO1,CLO1,"Trình bày được khái niệm, đối tượng, phương pháp nghiên cứu và cơ sở hình thành, phát triển của tư tưởng Hồ Chí Minh.",,
LP6022_CLO2,CLO2,"Phân tích được các quan điểm cơ bản của Hồ Chí Minh về độc lập dân tộc, chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội ở Việt Nam.",,
LP6022_CLO3,CLO3,"Làm rõ tư tưởng Hồ Chí Minh về Đảng Cộng sản Việt Nam, Nhà nước pháp quyền xã hội chủ nghĩa và khối đại đoàn kết toàn dân tộc.",,
LP6022_CLO4,CLO4,"Trình bày được quan điểm của Hồ Chí Minh về văn hóa, đạo đức, xây dựng con người mới và công nghiệp hóa đất nước.",,
LP6022_CLO5,CLO5,Vận dụng được tư tưởng Hồ Chí Minh vào việc nhận thức và giải quyết các vấn đề thực tiễn của cách mạng Việt Nam trong giai đoạn hiện nay.,,
LP6025_CLO1,CLO1,"Trình bày được đối tượng, phương pháp nghiên cứu, chức năng của kinh tế chính trị Mác - Lênin và lý luận về sản xuất hàng hóa, thị trường.",,
LP6025_CLO2,CLO2,"Phân tích được bản chất của giá trị thặng dư, các hình thức biểu hiện của nó cũng như vai trò của cạnh tranh và độc quyền trong nền kinh tế thị trường.",,
LP6025_CLO3,CLO3,Làm rõ được mô hình kinh tế thị trường định hướng xã hội chủ nghĩa và giải quyết các quan hệ lợi ích kinh tế trong bối cảnh phát triển của Việt Nam.,,
LP6025_CLO4,CLO4,"Đánh giá được vai trò và thực tiễn của quá trình công nghiệp hóa, hiện đại hóa và hội nhập kinh tế quốc tế của Việt Nam.",,
LP6025_CLO5,CLO5,"Vận dụng tư duy lý luận và kiến thức kinh tế chính trị để nhận diện, giải quyết các vấn đề kinh tế - xã hội nảy sinh trong thực tiễn với lập trường tư tưởng vững vàng.",,
LP6025_CLO1,CLO1,"Trình bày được đối tượng, phương pháp nghiên cứu, chức năng của kinh tế chính trị Mác - Lênin và lý luận về sản xuất hàng hóa, thị trường.",,
LP6025_CLO2,CLO2,"Phân tích được bản chất của giá trị thặng dư, các hình thức biểu hiện của nó cũng như vai trò của cạnh tranh và độc quyền trong nền kinh tế thị trường.",,
LP6025_CLO3,CLO3,Làm rõ được mô hình kinh tế thị trường định hướng xã hội chủ nghĩa và giải quyết các quan hệ lợi ích kinh tế trong bối cảnh phát triển của Việt Nam.,,
LP6025_CLO4,CLO4,"Đánh giá được vai trò và thực tiễn của quá trình công nghiệp hóa, hiện đại hóa và hội nhập kinh tế quốc tế của Việt Nam.",,
LP6025_CLO5,CLO5,"Vận dụng tư duy lý luận và kiến thức kinh tế chính trị để nhận diện, giải quyết các vấn đề kinh tế - xã hội nảy sinh trong thực tiễn với lập trường tư tưởng vững vàng.",,
LP6026_CLO1,CLO1,"Trình bày được đối tượng, phương pháp nghiên cứu và ý nghĩa của việc học tập môn Chủ nghĩa xã hội khoa học, cũng như quá trình hình thành và phát triển của nó.",,
LP6026_CLO2,CLO2,Phân tích được nội dung sứ mệnh lịch sử của giai cấp công nhân và liên hệ với thực tiễn phong trào công nhân hiện nay.,,
LP6026_CLO3,CLO3,"Làm rõ những đặc điểm cơ bản của chủ nghĩa xã hội và thời kỳ quá độ lên chủ nghĩa xã hội, đặc biệt là thực tiễn xây dựng chủ nghĩa xã hội ở Việt Nam.",,
LP6026_CLO4,CLO4,"Đánh giá được bản chất, vai trò của nền dân chủ xã hội chủ nghĩa và Nhà nước xã hội chủ nghĩa trong hệ thống chính trị.",,
LP6026_CLO5,CLO5,"Trình bày và phân tích được các vấn đề về cơ cấu xã hội - giai cấp, liên minh giai cấp, cùng các vấn đề dân tộc, tôn giáo và gia đình trong thời kỳ quá độ lên chủ nghĩa xã hội.",,
LP6026_CLO6,CLO6,"Vận dụng kiến thức đã học để giải thích các vấn đề chính trị - xã hội thực tiễn ở Việt Nam, qua đó bồi dưỡng bản lĩnh chính trị và niềm tin vào mục tiêu, lý tưởng cách mạng.",,
LP6026_CLO1,CLO1,"Trình bày được đối tượng, phương pháp nghiên cứu và ý nghĩa của việc học tập môn Chủ nghĩa xã hội khoa học, cũng như quá trình hình thành và phát triển của nó.",,
LP6026_CLO2,CLO2,Phân tích được nội dung sứ mệnh lịch sử của giai cấp công nhân và liên hệ với thực tiễn phong trào công nhân hiện nay.,,
LP6026_CLO3,CLO3,"Làm rõ những đặc điểm cơ bản của chủ nghĩa xã hội và thời kỳ quá độ lên chủ nghĩa xã hội, đặc biệt là thực tiễn xây dựng chủ nghĩa xã hội ở Việt Nam.",,
LP6026_CLO4,CLO4,"Đánh giá được bản chất, vai trò của nền dân chủ xã hội chủ nghĩa và Nhà nước xã hội chủ nghĩa trong hệ thống chính trị.",,
LP6026_CLO5,CLO5,"Trình bày và phân tích được các vấn đề về cơ cấu xã hội - giai cấp, liên minh giai cấp, cùng các vấn đề dân tộc, tôn giáo và gia đình trong thời kỳ quá độ lên chủ nghĩa xã hội.",,
LP6026_CLO6,CLO6,"Vận dụng kiến thức đã học để giải thích các vấn đề chính trị - xã hội thực tiễn ở Việt Nam, qua đó bồi dưỡng bản lĩnh chính trị và niềm tin vào mục tiêu, lý tưởng cách mạng.",,
LP6027_CLO1,CLO1,"Trình bày được hoàn cảnh lịch sử, quá trình thành lập Đảng Cộng sản Việt Nam và nội dung Cương lĩnh chính trị đầu tiên của Đảng.",,
LP6027_CLO2,CLO2,"Phân tích được đường lối, chủ trương và vai trò lãnh đạo của Đảng trong các giai đoạn đấu tranh giành chính quyền, kháng chiến chống ngoại xâm và thống nhất đất nước (1930 - 1975).",,
LP6027_CLO3,CLO3,"Đánh giá được quá trình Đảng lãnh đạo cả nước xây dựng chủ nghĩa xã hội, bảo vệ Tổ quốc và tiến hành công cuộc đổi mới, công nghiệp hóa, hiện đại hóa đất nước từ năm 1975 đến nay.",,
LP6027_CLO4,CLO4,"Tổng kết được những thành tựu, hạn chế và bài học kinh nghiệm về sự lãnh đạo của Đảng trong tiến trình cách mạng Việt Nam.",,
LP6027_CLO5,CLO5,"Thể hiện lập trường tư tưởng vững vàng, tin tưởng vào sự lãnh đạo của Đảng và vận dụng kiến thức lịch sử Đảng vào việc góp phần xây dựng, bảo vệ Tổ quốc.",,
LP6027_CLO1,CLO1,"Trình bày được hoàn cảnh lịch sử, quá trình thành lập Đảng Cộng sản Việt Nam và nội dung Cương lĩnh chính trị đầu tiên của Đảng.",,
LP6027_CLO2,CLO2,"Phân tích được đường lối, chủ trương và vai trò lãnh đạo của Đảng trong các giai đoạn đấu tranh giành chính quyền, kháng chiến chống ngoại xâm và thống nhất đất nước (1930 - 1975).",,
LP6027_CLO3,CLO3,"Đánh giá được quá trình Đảng lãnh đạo cả nước xây dựng chủ nghĩa xã hội, bảo vệ Tổ quốc và tiến hành công cuộc đổi mới, công nghiệp hóa, hiện đại hóa đất nước từ năm 1975 đến nay.",,
LP6027_CLO4,CLO4,"Tổng kết được những thành tựu, hạn chế và bài học kinh nghiệm về sự lãnh đạo của Đảng trong tiến trình cách mạng Việt Nam.",,
LP6027_CLO5,CLO5,"Thể hiện lập trường tư tưởng vững vàng, tin tưởng vào sự lãnh đạo của Đảng và vận dụng kiến thức lịch sử Đảng vào việc góp phần xây dựng, bảo vệ Tổ quốc.",,
SC6013_L1,L1,"Trình bày và phân tích được các khái niệm cơ bản, quy trình, vai trò của quản lý dự án trong CNTT; nhận biết môi liên hệ giữa phạm vi, tiến độ, chi phí và chất lượng dự án.",PI 1.2;PI 4.1;PI 4.2,IT
SC6013_L2,L2,"Áp dụng kiến thức về các lĩnh vực quản lý như phạm vi, tiến độ, chi phí, chất lượng, rủi ro và nguồn nhân lực dự án để lập kế hoạch, phối hợp thực hiện, giám sát và đánh giá tính khả thi, tuân thủ pháp luật và đạo đức nghề nghiệp trong dự án CNTT.",PI 1.2;PI 4.1;PI 4.2,
SC6013_L3,L3,"Sử dụng được các công cụ và phương pháp quản lý dự án hiện đại; vận dụng kiến thức chuyên môn và kỹ năng làm việc nhóm để lập kế hoạch, tổ chức, điều phối và giải quyết các bài toán thực tiễn trong quản lý dự án công nghệ thông tin.",PI 1.2;PI 3.1;PI 3.2;PI 3.3,U
SC6013_L1,L1,"Trình bày và phân tích được các khái niệm cơ bản, quy trình, vai trò của quản lý dự án trong CNTT; nhận biết môi liên hệ giữa phạm vi, tiến độ, chi phí và chất lượng dự án.",PI 1.2;PI 4.1;PI 4.2,IT
SC6013_L2,L2,"Áp dụng kiến thức về các lĩnh vực quản lý như phạm vi, tiến độ, chi phí, chất lượng, rủi ro và nguồn nhân lực dự án để lập kế hoạch, phối hợp thực hiện, giám sát và đánh giá tính khả thi, tuân thủ pháp luật và đạo đức nghề nghiệp trong dự án CNTT.",PI 1.2;PI 4.1;PI 4.2,
SC6013_L3,L3,"Sử dụng được các công cụ và phương pháp quản lý dự án hiện đại; vận dụng kiến thức chuyên môn và kỹ năng làm việc nhóm để lập kế hoạch, tổ chức, điều phối và giải quyết các bài toán thực tiễn trong quản lý dự án công nghệ thông tin.",PI 1.2;PI 3.1;PI 3.2;PI 3.3,U
SC6014_L1,L1,"Áp dụng các kiến thức cơ sở ngành kết hợp với tự học, tự nghiên cứu để lập kế hoạch và bổ sung kiến thức chuyên môn về lập trình, cơ sở dữ liệu, nền tầng công nghệ phục vụ cho việc xây dựng một Hệ thống thông tin cơ bản.",null,
SC6014_L2,L2,"Vận dụng kiến thức nền tầng ngành kết hợp tư duy đổi mới sáng tạo và tư duy khởi nghiệp để đề xuất, thiết kế và thuyết trình một ý tưởng hệ thống thông tin hoặc ý tưởng khởi nghiệp giả định có tính thực tiễn và khả thi ở mức cơ bản.",PI 7.2,"T, U"
SC6014_L3,L3,"Triển khai làm việc nhóm trong môi trường dự án để phân công nhiệm vụ, phối hợp thực hiện và hoàn thiện một hệ thống thông tin ở mức cơ sở.",PI 7.1,"T, U"
SC6014_L1,L1,"Áp dụng các kiến thức cơ sở ngành kết hợp với tự học, tự nghiên cứu để lập kế hoạch và bổ sung kiến thức chuyên môn về lập trình, cơ sở dữ liệu, nền tầng công nghệ phục vụ cho việc xây dựng một Hệ thống thông tin cơ bản.",null,
SC6014_L2,L2,"Vận dụng kiến thức nền tầng ngành kết hợp tư duy đổi mới sáng tạo và tư duy khởi nghiệp để đề xuất, thiết kế và thuyết trình một ý tưởng hệ thống thông tin hoặc ý tưởng khởi nghiệp giả định có tính thực tiễn và khả thi ở mức cơ bản.",PI 7.2,"T, U"
SC6014_L3,L3,"Triển khai làm việc nhóm trong môi trường dự án để phân công nhiệm vụ, phối hợp thực hiện và hoàn thiện một hệ thống thông tin ở mức cơ sở.",PI 7.1,"T, U"
SC6016_L1,L1,"Vận dụng được các kiến thức, kỹ thuật cơ sở ngành để phân tích giải pháp CNTT.",PI 1.2,U
SC6016_L2,L2,"Vận dụng được các kiến thức, kỹ thuật cơ sở ngành để thiết kế giải pháp CNTT.",PI 5.1,U
SC6016_L3,L3,"Vận dụng được các kiến thức, kỹ thuật cơ sở ngành để triển khai giải pháp CNTT.",PI 5.2,U
SC6016_L1,L1,"Vận dụng được các kiến thức, kỹ thuật cơ sở ngành để phân tích giải pháp CNTT.",PI 1.2,U
SC6016_L2,L2,"Vận dụng được các kiến thức, kỹ thuật cơ sở ngành để thiết kế giải pháp CNTT.",PI 5.1,U
SC6016_L3,L3,"Vận dụng được các kiến thức, kỹ thuật cơ sở ngành để triển khai giải pháp CNTT.",PI 5.2,U
SC6019_L1,L1,Triển khai được giải pháp phần mềm đáp ứng các yêu cầu điện toán đã cho bằng các công cụ và kỹ thuật của học máy.,PI 5.2,I
SC6019_L2,L2,Đánh giá được giải pháp phần mềm đáp ứng các yêu cầu điện toán cho trước bằng các kỹ thuật học máy.,PI 5.3,T
SC6019_L3,L3,Áp dụng quy trình phát triển phần mềm để xây dựng giải pháp học máy dựa trên máy tính.,PI 6.1,T
SC6019_L4,L4,Ứng dụng lý thuyết học máy trong việc tạo ra các giải pháp dựa trên máy tính.,PI 6.,
SC6019_L1,L1,Triển khai được giải pháp phần mềm đáp ứng các yêu cầu điện toán đã cho bằng các công cụ và kỹ thuật của học máy.,PI 5.2,I
SC6019_L2,L2,Đánh giá được giải pháp phần mềm đáp ứng các yêu cầu điện toán cho trước bằng các kỹ thuật học máy.,PI 5.3,T
SC6019_L3,L3,Áp dụng quy trình phát triển phần mềm để xây dựng giải pháp học máy dựa trên máy tính.,PI 6.1,T
SC6019_L4,L4,Ứng dụng lý thuyết học máy trong việc tạo ra các giải pháp dựa trên máy tính.,PI 6.,
SC6200_L1,L1,"Nhận biết, giải thích được các nguyên lý cơ bản của an ninh mạng, vai trò của làm việc nhóm, đồng thời nhận định được trách nhiệm nghề nghiệp, pháp luật và đạo đức trong thực hành an ninh mạng.",PI 3.1;PI 4.1;PI 4.2;PI 4.3;PI 1.2;PI 8.1,"I, T"
SC6200_L2,L2,"Áp dụng kiến thức an ninh mạng để triển khai các biện pháp bảo vệ hệ thống thông tin, hệ thống điện toán và mạng máy tính, tham gia làm việc nhóm hiệu quả trong quá trình phân tích, vận hành và xử lý các tinh huống an ninh mạng.",PI 3.2;PI 6.3,
SC6200_L3,L3,"Phân tích, đánh giá và đề xuất giải pháp an ninh mạng tổng thể cho các hệ thống CNTT; điều phối nhóm, quản trị và vận hành an toàn hệ thống điện toán/hệ thống thông tin đáp ứng yêu cầu của người sử dụng và tổ chức.","PI 3.3, PI 6.3;PI 6.5;PI 6.2","T, U"
SC6200_L1,L1,"Nhận biết, giải thích được các nguyên lý cơ bản của an ninh mạng, vai trò của làm việc nhóm, đồng thời nhận định được trách nhiệm nghề nghiệp, pháp luật và đạo đức trong thực hành an ninh mạng.",PI 3.1;PI 4.1;PI 4.2;PI 4.3;PI 1.2;PI 8.1,"I, T"
SC6200_L2,L2,"Áp dụng kiến thức an ninh mạng để triển khai các biện pháp bảo vệ hệ thống thông tin, hệ thống điện toán và mạng máy tính, tham gia làm việc nhóm hiệu quả trong quá trình phân tích, vận hành và xử lý các tinh huống an ninh mạng.",PI 3.2;PI 6.3,
SC6200_L3,L3,"Phân tích, đánh giá và đề xuất giải pháp an ninh mạng tổng thể cho các hệ thống CNTT; điều phối nhóm, quản trị và vận hành an toàn hệ thống điện toán/hệ thống thông tin đáp ứng yêu cầu của người sử dụng và tổ chức.","PI 3.3, PI 6.3;PI 6.5;PI 6.2","T, U"
SC6202_L1,L1,Mô hình hóa được một số bài toán trong thực tế về dạng bài toán tối ưu cơ bản.,PI 1.2,T
SC6202_L2,L2,Áp dụng được phương pháp phù hợp để giải bài toán tối ưu.,PI 1.2,T
SC6202_L1,L1,Mô hình hóa được một số bài toán trong thực tế về dạng bài toán tối ưu cơ bản.,PI 1.2,T
SC6202_L2,L2,Áp dụng được phương pháp phù hợp để giải bài toán tối ưu.,PI 1.2,T
SC6205_L1,L1,"Giải thích được khái niệm cấu trúc dữ liệu, giải thuật, khái niệm phân tích, đánh giá giải thuật, chiến lược thiết kế giải thuật để quy, chia để trị, tham lam.",PI1.2;PI2.1;PI2.3;PI1.3,I
SC6205_L2,L2,Cài đặt được một số cấu trúc dữ liệu và giải thuật căn bản.,PI1.2;PI2.1;PI2.3;PI4.1;PI4.2;PI4.3;PI5.1;PI5.2;PI8.1,ITU
SC6205_L3,L3,"Lựa chọn, áp dụng được cấu trúc dữ liệu và giải thuật cho bài toán cụ thể.",PI1.2;PI2.1;PI2.3;PI1.3;PI5.1;PI5.2;PI6.1;PI6.2;PI8.1,IU
SC6205_L1,L1,"Giải thích được khái niệm cấu trúc dữ liệu, giải thuật, khái niệm phân tích, đánh giá giải thuật, chiến lược thiết kế giải thuật để quy, chia để trị, tham lam.",PI1.2;PI2.1;PI2.3;PI1.3,I
SC6205_L2,L2,Cài đặt được một số cấu trúc dữ liệu và giải thuật căn bản.,PI1.2;PI2.1;PI2.3;PI4.1;PI4.2;PI4.3;PI5.1;PI5.2;PI8.1,ITU
SC6205_L3,L3,"Lựa chọn, áp dụng được cấu trúc dữ liệu và giải thuật cho bài toán cụ thể.",PI1.2;PI2.1;PI2.3;PI1.3;PI5.1;PI5.2;PI6.1;PI6.2;PI8.1,IU
SC6206_L1,L1,"Trình bày các kiến thức nền tảng về cơ sở dữ liệu, mô hình dữ liệu, mô hình quan hệ, các phép toán đại số quan hệ, ngôn ngữ SQL, tối ưu truy vấn, mô hình thực thể-liên kết và chuyển đổi ERD sang mô hình quan hệ nhằm phục vụ việc thiết kế cơ sở dữ liệu.",PI5.1(1);PI5.2(1),ITU
SC6206_L2,L2,"Vận dụng kiến thức để xây dựng truy vấn bằng đại số quan hệ và SQL, xác định phụ thuộc hàm, khóa, và chuẩn hóa lược đồ quan hệ đến dạng chuẩn 3 nhằm hoàn thiện thiết kế cơ sở dữ liệu.",PI5.1(1);PI5.2(1)PI6.1(2),ITU
SC6206_L1,L1,"Trình bày các kiến thức nền tảng về cơ sở dữ liệu, mô hình dữ liệu, mô hình quan hệ, các phép toán đại số quan hệ, ngôn ngữ SQL, tối ưu truy vấn, mô hình thực thể-liên kết và chuyển đổi ERD sang mô hình quan hệ nhằm phục vụ việc thiết kế cơ sở dữ liệu.",PI5.1(1);PI5.2(1),ITU
SC6206_L2,L2,"Vận dụng kiến thức để xây dựng truy vấn bằng đại số quan hệ và SQL, xác định phụ thuộc hàm, khóa, và chuẩn hóa lược đồ quan hệ đến dạng chuẩn 3 nhằm hoàn thiện thiết kế cơ sở dữ liệu.",PI5.1(1);PI5.2(1)PI6.1(2),ITU
SC6208_L1,L1,"Sử dụng thành thạo: biến, biểu thức, nhập/xuất, các kiểu dữ liệu cơ bản, cấu trúc điều khiển và lập trình mô đun.",,
SC6208_L2,L2,"Có khả năng sử dụng các kiểu dữ liệu có cấu trúc, con trỏ, kỹ thuật xử lý tệp để giải quyết một số bài toán cơ bản.",,
SC6208_L3,L3,"Vận dụng được kiến thức, kỹ năng, công cụ để xác định và sửa lỗi trong lập trình cho một số bài toán cụ thể.",,
SC6208_L1,L1,"Sử dụng thành thạo: biến, biểu thức, nhập/xuất, các kiểu dữ liệu cơ bản, cấu trúc điều khiển và lập trình mô đun.",,
SC6208_L2,L2,"Có khả năng sử dụng các kiểu dữ liệu có cấu trúc, con trỏ, kỹ thuật xử lý tệp để giải quyết một số bài toán cơ bản.",,
SC6208_L3,L3,"Vận dụng được kiến thức, kỹ năng, công cụ để xác định và sửa lỗi trong lập trình cho một số bài toán cụ thể.",,
SC6210_L1,L1,"Vận dụng kiến thức về nền tảng .NET, WPF và EF Core để thiết kế được giải pháp phần mềm đáp ứng các yêu cầu cho trước bằng phần mềm.",PI 5.,
SC6210_L2,L2,Triển khai được giải pháp phần mềm đáp ứng các yêu cầu cho trước bằng các công cụ và kỹ thuật của khoa học máy tính.,PI 5.2,U
SC6210_L1,L1,"Vận dụng kiến thức về nền tảng .NET, WPF và EF Core để thiết kế được giải pháp phần mềm đáp ứng các yêu cầu cho trước bằng phần mềm.",PI 5.,
SC6210_L2,L2,Triển khai được giải pháp phần mềm đáp ứng các yêu cầu cho trước bằng các công cụ và kỹ thuật của khoa học máy tính.,PI 5.2,U
SC6211_L1,L1,"Giải thích được các khái niệm cơ bản trong lập trình hướng đối tượng; đọc được sơ đồ lớp đơn giản; cải đặt được các lớp, các sơ đồ lớp, mối quan hệ giữa các lớp, cải đặt và kiểm thử các chương trình.",PI 2.1PI 5.1PI 5.2,TU
SC6211_L2,L2,"Thực hiện được các kỹ thuật nạp chồng toán từ trong lập trình hướng đối tượng; thực hiện được các kỹ thuật đặc thù trong lập trình hướng đối tượng như: phương thức áo, lớp cơ sở trừu tượng, khuôn mẫu.",PI 2.1PI 5.1PI 5.2,TU
SC6211_L3,L3,Thiết kế được theo hướng đối tượng các sơ đồ lớp đơn giản.,PI 5.1,T
SC6211_L4,L4,Xác định và sửa được lỗi cơ bản trong chương trình.,PI 5.2,T
SC6211_L1,L1,"Giải thích được các khái niệm cơ bản trong lập trình hướng đối tượng; đọc được sơ đồ lớp đơn giản; cải đặt được các lớp, các sơ đồ lớp, mối quan hệ giữa các lớp, cải đặt và kiểm thử các chương trình.",PI 2.1PI 5.1PI 5.2,TU
SC6211_L2,L2,"Thực hiện được các kỹ thuật nạp chồng toán từ trong lập trình hướng đối tượng; thực hiện được các kỹ thuật đặc thù trong lập trình hướng đối tượng như: phương thức áo, lớp cơ sở trừu tượng, khuôn mẫu.",PI 2.1PI 5.1PI 5.2,TU
SC6211_L3,L3,Thiết kế được theo hướng đối tượng các sơ đồ lớp đơn giản.,PI 5.1,T
SC6211_L4,L4,Xác định và sửa được lỗi cơ bản trong chương trình.,PI 5.2,T
SC6212_L1,L1,Hiểu được các kỹ thuật lập trình cơ bản của ngôn ngữ Java.,PI3.1;PI3.2;PI3.3 (3);PI5.1;PI5.2 (2;5),IT
SC6212_L2,L2,Vận dụng được các kỹ thuật lập trình Java vào giải quyết bài toán cụ thể.,PI5.1 (2;5);PI5.2 (1;2;5) PI6.1 (4),TU
SC6212_L1,L1,Hiểu được các kỹ thuật lập trình cơ bản của ngôn ngữ Java.,PI3.1;PI3.2;PI3.3 (3);PI5.1;PI5.2 (2;5),IT
SC6212_L2,L2,Vận dụng được các kỹ thuật lập trình Java vào giải quyết bài toán cụ thể.,PI5.1 (2;5);PI5.2 (1;2;5) PI6.1 (4),TU
SC6213_L1,L1,"Vận dụng các kỹ thuật, công nghệ hiện đại để thiết kế giải pháp phần mềm cho bài toán cụ thể.",PI5.2,
SC6213_L2,L2,Triển khai phần mềm theo thiết kế và đáp ứng được yêu cầu thực tế.,"PI5.2 1;2 , PI4.1 3;4;PI4.2 3;4;PI4.3 3;4 , PI6.2 4",T
SC6213_L1,L1,"Vận dụng các kỹ thuật, công nghệ hiện đại để thiết kế giải pháp phần mềm cho bài toán cụ thể.",PI5.2,
SC6213_L2,L2,Triển khai phần mềm theo thiết kế và đáp ứng được yêu cầu thực tế.,"PI5.2 1;2 , PI4.1 3;4;PI4.2 3;4;PI4.3 3;4 , PI6.2 4",T
SC6214_L1,L1,"Áp dụng kiến thức cơ bản về lập trình web và mô hình MVC để thiết kế, xây dựng và vận hành các ứng dụng web.",PI 5.1;PI 6.2,T
SC6214_L2,L2,"Vận dụng quy trình phát triển phần mềm hiện đại, tuân thủ các nguyên tắc nghề nghiệp, pháp luật và đạo đức trong triển khai các ứng dụng web theo yêu cầu thực tế.",PI 4.1;PI 4.2,
SC6214_L1,L1,"Áp dụng kiến thức cơ bản về lập trình web và mô hình MVC để thiết kế, xây dựng và vận hành các ứng dụng web.",PI 5.1;PI 6.2,T
SC6214_L2,L2,"Vận dụng quy trình phát triển phần mềm hiện đại, tuân thủ các nguyên tắc nghề nghiệp, pháp luật và đạo đức trong triển khai các ứng dụng web theo yêu cầu thực tế.",PI 4.1;PI 4.2,
SC6215_L1,L1,Áp dụng được kỹ thuật lập trình cơ bản của ngôn ngữ PHP trong lập trình web.,PI 5.2,T
SC6215_L2,L2,Vận dụng kỹ thuật lập trình PHP để phát triển ứng dụng web có kết nối với cơ sở dữ liệu.,PI 5.2,T
SC6215_L3,L3,"Làm việc nhóm hiệu quả, giao tiếp trong môi trường phát triển phần mềm và thể hiện tỉnh thần trách nhiệm, thái độ chuyên nghiệp trong quá trình xây dựng và vận hành ứng dụng web.",PI 3.1(1;2;3;4;5);PI 3.2(1;2;3;4;5);PI 3.3(1),TU
SC6215_L1,L1,Áp dụng được kỹ thuật lập trình cơ bản của ngôn ngữ PHP trong lập trình web.,PI 5.2,T
SC6215_L2,L2,Vận dụng kỹ thuật lập trình PHP để phát triển ứng dụng web có kết nối với cơ sở dữ liệu.,PI 5.2,T
